Angola,Africa,2006,2600,7.6,857.1
Argentina,South America,2006,5919,7,4932.3
Australia,Oceania,2006,36045,1.3,27633.4
Brazil,South America,2006,5886,2.8,4891.5
Canada,North America,2006,40386,3.1,33091.6
China,Asia,2006,2099,12.1,1642.6
Egypt,Africa,2006,1398,5,1176.3
France,Europe,2006,36444,1.7,31166.2
Germany,Europe,2006,36323,3.9,30765.6
India,Asia,2006,807,6.4,699.4
Indonesia,Asia,2006,1590,4.1,1127.6
Italy,Europe,2006,33502,1.5,28309.2
Japan,Asia,2006,35434,1.4,28338.8
Libya,Africa,2006,9336,4.9,6231.9
Malaysia,Asia,2006,6209,3.5,4599.5
Mexico,North America,2006,9068,3,7165.8
New Zealand,Oceania,2006,26671,1.6,20920.9
Russia,Europe,2006,6920,8.6,5322.9
South Africa,Africa,2006,5602,4.3,4632
South Korea,Asia,2006,21743,4.7,17911.8
Spain,Europe,2006,28365,2.4,24009.6
Sweden,Europe,2006,46594,4.1,40043.5
United Kingdom,Europe,2006,44600,2,38315.2
United States,North America,2006,46299,1.9,39758.8
Angola,Africa,2007,3122,9.9,819.7
Argentina,South America,2007,7245,7.9,6148
Australia,Oceania,2007,40960,3.2,30910.8
Brazil,South America,2007,7348,5,6100.6
Canada,North America,2007,44543,5.8,36480.6
China,Asia,2007,2694,13.6,2074.9
Egypt,Africa,2007,1668,5.2,1422.3
France,Europe,2007,41508,1.8,35446.5
Germany,Europe,2007,41587,3.1,35115.1
India,Asia,2007,1028,6,891.6
Indonesia,Asia,2007,1860,4.9,1318.8
Italy,Europe,2007,37823,1,31793.5
Japan,Asia,2007,35275,1.5,28275.1
Libya,Africa,2007,11300,4.8,7828.3
Malaysia,Asia,2007,7243,4.2,5493.7
Mexico,North America,2007,9643,0.8,7643.2
New Zealand,Oceania,2007,32511,2.1,25400.6
Russia,Europe,2007,9101,8.7,7230.3
South Africa,Africa,2007,6096,4,4898.7
South Korea,Asia,2007,24086,5.3,19914
