Angola,Africa,2006,47.3,0.0,47.2
Argentina,South America,2006,10.9,643055892.9,97.6
Australia,Oceania,2006,16.5,14005284652.0,99.8
Brazil,South America,2006,60.4,10266677184.0,95.3
Canada,North America,2006,38.2,8070898419.0,99.2
China,Asia,2006,20.7,24285807171.0,85.3
Egypt,Africa,2006,0.1,12819722.6,98.3
France,Europe,2006,29.2,387879.5,99.9
Germany,Europe,2006,32.7,1971082.0,100.0
India,Asia,2006,22.9,6233562441.0,83.7
Indonesia,Asia,2006,53.6,5491119004.0,81.1
Italy,Europe,2006,30.0,181921.6,99.8
Japan,Asia,2006,68.4,12532256.1,98.6
Libya,Africa,2006,0.1,0.0,89.6
Malaysia,Asia,2006,64.3,5831543.4,97.1
Mexico,North America,2006,34.4,1898839093.0,93.3
New Zealand,Oceania,2006,38.6,23206824.9,100.0
Russia,Europe,2006,49.5,7341764243.0,95.7
South Africa,Africa,2006,7.6,3538116521.0,87.7
South Korea,Asia,2006,64.5,10163466.1,98.6
Spain,Europe,2006,35.0,107304327.1,100.0
Sweden,Europe,2006,68.7,733542361.0,100.0
United Kingdom,Europe,2006,12.5,83060.3,100.0
United States,North America,2006,33.3,6720032591.0,99.2
Angola,Africa,2007,47.2,0.0,48.0
Argentina,South America,2007,10.8,653024621.8,97.8
Australia,Oceania,2007,16.4,23430989908.0,99.8
Brazil,South America,2007,60.2,21322837187.0,95.6
Canada,North America,2007,38.2,11584328407.0,99.2
China,Asia,2007,20.9,53120684415.0,86.2
Egypt,Africa,2007,0.1,7622254.3,98.4
France,Europe,2007,29.4,342378.7,100.0
Germany,Europe,2007,32.7,3804268.3,100.0
India,Asia,2007,23.1,14236944481.0,84.5
Indonesia,Asia,2007,53.3,9373801117.0,82.0
Italy,Europe,2007,30.1,479939.9,99.8
Japan,Asia,2007,68.4,1436336.4,98.6
Libya,Africa,2007,0.1,0.0,90.5
Malaysia,Asia,2007,65.1,10038484.9,97.1
Mexico,North America,2007,34.4,2253013648.0,94.0
New Zealand,Oceania,2007,38.6,23697014.9,100.0
Russia,Europe,2007,49.5,10559591955.0,95.8
South Africa,Africa,2007,7.6,5412436803.0,88.2
South Korea,Asia,2007,64.4,5578278.5,98.7
Spain,Europe,2007,35.4,187664455.4,100.0
Sweden,Europe,2007,68.6,956291888.5,100.0
United Kingdom,Europe,2007,12.5,265563.5,100.0
United States,North America,2007,33.4,8170265074.0,99.2
Angola,Africa,2008,47.1,0.0,48.8
Argentina,South America,2008,10.7,929306357.1,98.1
Australia,Oceania,2008,16.3,27257370886.0,99.8
Brazil,South America,2008,60.0,26669997910.0,95.8
Canada,North America,2008,38.2,9057423111.0,99.2
China,Asia,2008,21.0,77384278171.0,87.0
Egypt,Africa,2008,0.1,742471321.6,98.5
France,Europe,2008,29.6,17568785.3,100.0
Germany,Europe,2008,32.7,5610138.8,100.0
India,Asia,2008,23.2,17781327777.0,85.3
Indonesia,Asia,2008,52.9,5025736833.0,82.8
Italy,Europe,2008,30.3,5556572.4,99.7
Japan,Asia,2008,68.5,71889507.0,98.6
Libya,Africa,2008,0.1,0.0,91.4
Malaysia,Asia,2008,65.8,47653706.3,97.0
Mexico,North America,2008,34.3,2071754980.0,94.7
New Zealand,Oceania,2008,38.6,209595693.2,100.0
Russia,Europe,2008,49.6,9379747845.0,95.9
South Africa,Africa,2008,7.6,7202496693.0,88.7
South Korea,Asia,2008,64.3,7308214.7,98.8
Spain,Europe,2008,35.8,136140739.8,100.0
Sweden,Europe,2008,68.6,937901372.5,100.0
United Kingdom,Europe,2008,12.6,2154569.7,100.0
United States,North America,2008,33.6,11791399555.0,99.2
Angola,Africa,2009,47.0,0.0,49.6
Argentina,South America,2009,10.6,926526677.8,98.3
Australia,Oceania,2009,16.2,15108127539.0,99.9
Brazil,South America,2009,59.8,7172037377.0,96.1
Canada,North America,2009,38.2,4502744828.0,99.2
China,Asia,2009,21.2,41031366123.0,87.7
Egypt,Africa,2009,0.1,803013856.1,98.5
France,Europe,2009,29.8,23354734.2,100.0
Germany,Europe,2009,32.7,1395448.8,100.0
India,Asia,2009,23.3,8725963396.0,86.1
Indonesia,Asia,2009,52.5,6468697477.0,83.5
Italy,Europe,2009,30.5,7147416.2,99.7
Japan,Asia,2009,68.5,105306310.3,98.7
Libya,Africa,2009,0.1,0.0,92.3
Malaysia,Asia,2009,66.6,55179500.4,97.0
Mexico,North America,2009,34.3,1868477082.0,95.2
New Zealand,Oceania,2009,38.6,234278770.7,100.0
Russia,Europe,2009,49.7,5720355800.0,96.1
South Africa,Africa,2009,7.6,5099995153.0,89.2
South Korea,Asia,2009,64.2,7833077.1,98.9
Spain,Europe,2009,36.2,73036674.8,100.0
Sweden,Europe,2009,68.5,368145911.2,100.0
United Kingdom,Europe,2009,12.6,3079678.3,100.0
United States,North America,2009,33.7,8386500725.0,99.2
Angola,Africa,2010,46.9,0.0,50.4
Argentina,South America,2010,10.4,1676718793.0,98.5
Australia,Oceania,2010,16.0,25236390728.0,99.9
Brazil,South America,2010,59.6,18507360032.0,96.3
Canada,North America,2010,38.2,8069450132.0,99.3
China,Asia,2010,21.4,103302000000.0,88.5
Egypt,Africa,2010,0.1,172870864.9,98.6
France,Europe,2010,30.0,30570508.7,100.0
Germany,Europe,2010,32.7,4144185.7,100.0
India,Asia,2010,23.5,16041852763.0,86.9
Indonesia,Asia,2010,52.1,9646785671.0,84.3
Italy,Europe,2010,30.7,10190155.2,99.6
Japan,Asia,2010,68.5,169845230.8,98.7
Libya,Africa,2010,0.1,0.0,93.2
